YearBuilt,LotArea,Weight_pred
1961,11622,117117.63900431531
1958,14267,152527.38497070287
1997,13830,166748.32054824568
1998,9978,179768.93179716985
1992,5005,196965.2638335757
1993,10000,169345.63321427992
1992,7980,178091.11216274975
1998,8402,161548.99286198118
1990,10176,207512.4985105364
1970,8400,109731.03806978394
1999,5858,181133.56106200878
1971,1680,99961.93333298265
1971,1680,92579.37499797936
1975,2280,141301.24119999635
1975,2280,110942.38318368481
2009,12858,354037.8568727359
2009,12883,247429.6135917935
2005,11520,323940.7539600122
2005,14122,312037.18534144637
2003,14300,455271.63075242867
2002,13650,307161.10643490776
2006,7132,217337.51230452824
2005,18494,177016.5605056986
2006,3203,164569.80755647417
2004,13300,195996.54045943404
2004,8577,200524.43627855883
1998,17433,324904.0150124801
2005,8987,230535.44669397757
2009,9215,190555.62580178314
2005,10440,245671.6770997356
2004,11920,203759.2813197052
1920,9800,95726.88716225304
1974,15410,209562.71920518883
1993,13143,294419.58210834395
1992,11134,280589.0303779722
2004,4835,234923.51144270124
2004,3515,174978.67551759616
2004,3215,156031.05639916554
2004,2544,157948.3236896522
2005,2544,149250.9365134142
2000,2980,190650.4827033364
2003,2403,147205.33369053304
2010,12853,267915.01719172735
2000,7379,240211.6254181072
2002,8000,223091.4204349851
1967,10456,192133.17585617723
1993,10791,244583.84837735008
1978,18837,187781.75135887216
1971,9600,160743.37160602756
1966,9600,146680.89862649288
1966,9900,147758.1784849577
1967,9680,174388.73059416335
1964,10600,163643.35412702872
1962,13260,148028.20140723776
1952,9724,195166.45179089595
1949,17360,158607.1855832386
1966,11380,171959.64041651197
1958,8267,122449.85419037093
2003,8197,218358.6508064751
1959,8050,122907.81652258083
1959,10725,124399.30931221074
1959,10032,192672.011214494
1956,8382,97657.44651545025
1952,10950,119326.5687685444
1955,10895,109377.98684899948
1958,13587,104922.82947648126
1920,7898,93535.43412633418
1948,8064,143990.67840095988
1960,7635,146824.143475506
1963,9760,211939.3763639202
1900,4800,137397.51147198648
1920,4485,96395.3378045783
1957,5805,155796.6113318714
1938,6900,129662.06979468919
1948,11851,155156.28943669068
1920,8239,101943.77451469499
1923,9656,40463.1558156949
1900,9600,169142.93893328932
1890,9000,208085.45067856804
1910,9045,128928.4991727497
1922,10560,131864.60400554276
1950,5830,147162.04578928713
1922,7793,178668.48633898486
1925,5000,93514.34849609593
1939,6000,130496.985737616
1940,6000,142235.55600480316
1942,6360,141307.9854003291
1948,6000,142652.40146511892
1936,6240,116308.02771375049
1930,6240,138641.80567635165
1923,6120,118186.7303574644
